Date	VTI
2015-11-02	107.93
2015-11-03	108.199997
2015-11-04	107.91999799999999
2015-11-05	107.82
2015-11-06	107.839996
2015-11-09	106.760002
2015-11-10	107.0
2015-11-11	106.540001
2015-11-12	104.949997
2015-11-13	103.839996
2015-11-16	105.349998
2015-11-17	105.220001
2015-11-18	106.900002
2015-11-19	106.760002
2015-11-20	107.220001
2015-11-23	107.110001
2015-11-24	107.389999
2015-11-25	107.470001
2015-11-27	107.629997
2015-11-30	107.16999799999999
2015-12-01	108.18
2015-12-02	107.050003
2015-12-03	105.449997
2015-12-04	107.389999
2015-12-07	106.550003
2015-12-08	105.910004
2015-12-09	105.0
2015-12-10	105.309998
2015-12-11	103.239998
2015-12-14	103.610001
2015-12-15	104.720001
2015-12-16	106.239998
2015-12-17	104.68
2015-12-18	102.900002
2015-12-21	103.129997
2015-12-22	104.059998
2015-12-23	105.360001
2015-12-24	105.230003
2015-12-28	105.0
2015-12-29	106.120003
2015-12-30	105.32
2015-12-31	104.300003
2016-01-04	102.739998
2016-01-05	102.970001
2016-01-06	101.589996
2016-01-07	99.099998
2016-01-08	97.970001
2016-01-11	97.910004
2016-01-12	98.58000200000001
2016-01-13	96.040001
2016-01-14	97.510002
2016-01-15	95.459999
2016-01-19	95.360001
2016-01-20	94.41999799999999
2016-01-21	94.790001
2016-01-22	96.809998
2016-01-25	95.220001
2016-01-26	96.66999799999999
2016-01-27	95.57
2016-01-28	95.949997
2016-01-29	98.33000200000001
2016-02-01	98.349998
2016-02-02	96.449997
2016-02-03	97.029999
2016-02-04	97.260002
2016-02-05	95.260002
2016-02-08	93.779999
2016-02-09	93.660004
2016-02-10	93.720001
2016-02-11	92.559998
2016-02-12	94.360001
2016-02-16	96.08000200000001
2016-02-17	97.66999799999999
2016-02-18	97.279999
2016-02-19	97.300003
2016-02-22	98.720001
2016-02-23	97.529999
2016-02-24	98.029999
2016-02-25	99.190002
2016-02-26	99.110001
2016-02-29	98.32
2016-03-01	100.660004
2016-03-02	101.220001
2016-03-03	101.720001
2016-03-04	102.07
2016-03-07	102.279999
2016-03-08	101.010002
2016-03-09	101.5
2016-03-10	101.470001
2016-03-11	103.190002
2016-03-14	103.07
2016-03-15	102.239998
2016-03-16	102.879997
2016-03-17	103.66999799999999
2016-03-18	104.129997
2016-03-21	104.230003
2016-03-22	104.199997
2016-03-23	103.349998
2016-03-24	103.32
2016-03-28	103.389999
2016-03-29	104.540001
2016-03-30	104.940002
2016-03-31	104.82
2016-04-01	105.480003
2016-04-04	105.040001
2016-04-05	104.019997
2016-04-06	105.160004
2016-04-07	103.900002
2016-04-08	104.199997
2016-04-11	103.910004
2016-04-12	104.91999799999999
2016-04-13	106.150002
2016-04-14	106.110001
2016-04-15	106.059998
2016-04-18	106.769997
2016-04-19	107.07
2016-04-20	107.18
2016-04-21	106.650002
2016-04-22	106.800003
2016-04-25	106.540001
2016-04-26	106.83000200000001
2016-04-27	107.089996
2016-04-28	106.129997
2016-04-29	105.510002
2016-05-02	106.33000200000001
2016-05-03	105.260002
2016-05-04	104.639999
2016-05-05	104.599998
2016-05-06	104.980003
2016-05-09	105.089996
2016-05-10	106.339996
2016-05-11	105.370003
2016-05-12	105.33000200000001
2016-05-13	104.41999799999999
2016-05-16	105.459999
2016-05-17	104.510002
2016-05-18	104.5
2016-05-19	104.089996
2016-05-20	104.889999
2016-05-23	104.760002
2016-05-24	106.160004
2016-05-25	106.93
2016-05-26	106.910004
2016-05-27	107.389999
2016-05-31	107.339996
2016-06-01	107.629997
2016-06-02	107.989998
2016-06-03	107.690002
2016-06-06	108.25
2016-06-07	108.459999
2016-06-08	108.839996
2016-06-09	108.620003
2016-06-10	107.5
2016-06-13	106.610001
2016-06-14	105.949997
2016-06-15	105.839996
2016-06-16	106.150002
2016-06-17	105.800003
2016-06-20	106.519997
2016-06-21	106.75
2016-06-22	106.510002
2016-06-23	107.980003
2016-06-24	104.050003
2016-06-27	101.980003
2016-06-28	103.849998
2016-06-29	105.709999
2016-06-30	107.160004
2016-07-01	107.370003
2016-07-05	106.57
2016-07-06	107.220001
2016-07-07	107.16999799999999
2016-07-08	108.839996
2016-07-11	109.290001
2016-07-12	110.199997
2016-07-13	110.139999
2016-07-14	110.66999799999999
2016-07-15	110.550003
2016-07-18	110.860001
2016-07-19	110.639999
2016-07-20	111.230003
2016-07-21	110.790001
2016-07-22	111.32
2016-07-25	111.029999
2016-07-26	111.150002
2016-07-27	111.019997
2016-07-28	111.160004
2016-07-29	111.41999799999999
2016-08-01	111.269997
2016-08-02	110.43
2016-08-03	110.839996
2016-08-04	110.970001
2016-08-05	111.889999
2016-08-08	111.82
2016-08-09	111.91999799999999
2016-08-10	111.589996
2016-08-11	112.150002
2016-08-12	112.040001
2016-08-15	112.449997
2016-08-16	111.809998
2016-08-17	111.949997
2016-08-18	112.300003
2016-08-19	112.139999
2016-08-22	112.16999799999999
2016-08-23	112.470001
2016-08-24	111.839996
2016-08-25	111.769997
2016-08-26	111.540001
2016-08-29	112.150002
2016-08-30	111.970001
2016-08-31	111.650002
2016-09-01	111.709999
2016-09-02	112.279999
